school_id,region,division,language,Municipality,District_Name,Barangay,Ownership,Classification,Management,Level,n_test_takers_x,school_low_emerging_total,school_high_emerging_total,school_developing_total,school_transitioning_total,school_at_grade_level_total,school_low_emerging_percent,school_high_emerging_percent,school_developing_percent,school_transitioning_percent,school_at_grade_level_percent,g1_mt_low_emerging,g1_mt_high_emerging,g1_mt_developing,g1_mt_transitioning,g1_mt_at_grade_level,g1_mt_total,g2_mt_low_emerging,g2_mt_high_emerging,g2_mt_developing,g2_mt_transitioning,g2_mt_at_grade_level,g2_mt_total,g2_fil_low_emerging,g2_fil_high_emerging,g2_fil_developing,g2_fil_transitioning,g2_fil_at_grade_level,g2_fil_total,g3_mt_low_emerging,g3_mt_high_emerging,g3_mt_developing,g3_mt_transitioning,g3_mt_at_grade_level,g3_mt_total,g3_fil_low_emerging,g3_fil_high_emerging,g3_fil_developing,g3_fil_transitioning,g3_fil_at_grade_level,g3_fil_total,g3_eng_low_emerging,g3_eng_high_emerging,g3_eng_developing,g3_eng_transitioning,g3_eng_at_grade_level,g3_eng_total,District,School_Name,Address,total_enrollees,total_facilities,total_teachers,n_test_takers_y,english_mps,filipino_mps,mother_tongue_mps,numeracy_mps,mps,overall_mps
135196,CAR,Abra,Ilocano,TINEG,Lone District,ALAOA,Public,Partially Urban,DepED Managed,Purely ES,15,1,6,1,2,5,0.066666667,0.4,0.066666667,0.133333333,0.333333333,0,6,0,0,0,6,1,0,1,1,1,4,1,0,1,1,1,4,0,0,0,1,4,5,0,0,0,1,4,5,0,0,0,1,4,5,Tineg,Alawa Elementary school,Alawa Tineg Abra,33,5,6,3,38.51851852,33.33333333,34.81481481,25,34.19354839,35.55555555
135050,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,NALBUAN,Public,Rural,DepED Managed,Purely ES,25,4,1,1,13,6,0.16,0.04,0.04,0.52,0.24,2,1,1,0,0,4,0,0,0,10,0,10,0,0,0,10,0,10,0,2,0,4,5,11,0,2,0,4,5,11,2,0,0,3,6,11,Baay-Licuan,Baquero ES,,64,5,9,11,66.86868687,73.33333333,67.27272727,44.54545455,65.98240469,69.15824916
135053,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,BONGLO (PATAGUI),Public,Rural,DepED Managed,Purely ES,13,0,0,1,2,10,0,0,0.076923077,0.153846154,0.769230769,0,0,0,0,1,1,0,0,0,4,2,6,0,0,0,2,4,6,0,0,0,1,5,6,0,0,0,3,3,6,0,0,1,0,5,6,Baay-Licuan,Bonglo Elementary School,Gangit,38,4,3,5,84.88888889,85.77777778,70.22222222,59,77.5483871,80.2962963
135054,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,BULBULALA,Public,Rural,DepED Managed,Purely ES,9,0,0,0,9,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baay-Licuan,Bulbulala PS,Not Applicable,11,4,1,8,65.06520439,68.82919956,65.70146352,56.85593574,64.72728399,66.53195582
135056,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,CAWAYAN,Public,Rural,DepED Managed,Purely ES,22,14,0,0,6,2,0.636363636,0,0,0.272727273,0.090909091,2,0,0,0,0,2,7,0,0,2,2,11,6,0,0,3,2,11,0,0,0,0,0,0,6,0,0,0,3,9,6,0,0,3,0,9,Baay-Licuan,Caoayan PS,,42,3,3,11,65.05996134,68.88178762,65.95282982,57.21251085,64.95638367,66.63152626
135060,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,MOGAO,Public,Rural,DepED Managed,Purely ES,17,10,3,4,0,0,0.588235294,0.176470588,0.235294118,0,0,6,0,0,0,0,6,1,3,0,0,0,4,0,2,2,0,0,4,2,0,4,1,0,7,0,2,5,0,0,7,4,1,2,0,0,7,Baay-Licuan,Diangay PS,,32,5,3,5,72,69.33333333,60,67,67.09677419,67.11111111
135063,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,LENNENG,Public,Rural,DepED Managed,Purely ES,10,5,1,0,4,0,0.5,0.1,0,0.4,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,5,1,0,0,4,0,5,Baay-Licuan,Kileng PS,,14,5,2,2,57.77777778,66.66666667,84.44444444,87.5,71.93548387,69.62962963
135068,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,LENNENG,Public,Rural,DepED Managed,Purely ES,6,0,2,0,2,2,0,0.333333333,0,0.333333333,0.333333333,0,2,0,2,1,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Baay-Licuan,Lenneng ES,#VALUE!,16,4,3,4,36.11111111,38.33333333,52.77777778,35,41.4516129,42.40740741
135075,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,NALBUAN,Public,Rural,DepED Managed,Purely ES,22,10,1,4,7,0,0.454545455,0.045454545,0.181818182,0.318181818,0,6,1,0,0,0,7,3,0,0,5,0,8,3,0,2,3,0,8,1,6,0,0,0,7,0,2,2,3,0,7,1,0,2,4,0,7,Baay-Licuan,Nalbuan ES,#NAME?,87,4,10,14,70.63492063,77.77777778,71.9047619,73.92857143,73.50230415,73.43915344
135080,CAR,Abra,Ilocano,LICUAN-BAAY (LICUAN),Lone District,SUBAGAN,Public,Rural,DepED Managed,Purely ES,33,12,2,3,8,8,0.363636364,0.060606061,0.090909091,0.242424242,0.242424242,11,0,0,0,2,13,2,0,0,6,0,8,1,0,0,4,3,8,1,0,0,5,6,12,1,0,2,3,6,12,0,2,3,4,3,12,Baay-Licuan,Subagan PS,,55,3,4,13,69.4017094,75.8974359,75.72649573,47.69230769,70.32258065,73.67521368
